Categorie;Piece;Marque/Fournisseur;Prix Estime (Garage/Jobber);Source
Filtre;Filtre a huile (Standard);Ecogard;2,70 $ - 5,50 $;
Filtre;Filtre a huile (Premium);Amsoil (Prix pref.);24,40 $;
Freins;Plaquettes de frein (Ensemble arriere);Raybestos;52,00 $;
Freins;Disque de frein (Arriere);Raybestos;81,90 $;
Freins;Disque de frein (Qualite OE+);ProSeries;55,24 $;
Freins;Etrier de frein (Usage/Recycle);Partsupick;32,05 $;
Electrique;Batterie (Groupe 35);NAPA / Certified;139,95 $ - 155,00 $;
Electrique;Batterie (Groupe 24 ou 26);BOLT / NAPA;159,95 $ - 189,95 $;
Electrique;Alternateur (Usage/Recycle);Partsupick;60,54 $;
Suspension;Amortisseur (Arriere);TMC;65,76 $ - 89,45 $;
Suspension;Bras de suspension avec rotule;NAPA;109,00 $;
Suspension;Bague de bras de suspension (Paire);TOR;64,88 $;
Moteur;Sonde a oxygene (Downstream);Denso;200,24 $;
Moteur;Pompe a essence (Electrique);Bosch;281,47 $;
Fluides;Huile synthetique (Bidon 5L);ProSeries / Liqui Moly;30,99 $ - 89,99 $;
